target,feature,importance
lesion_thrombus,quad_2_mean,3.0126328053328937
lesion_thrombus,quad_2_std,1.267816092230003
lesion_thrombus,quad_3_mean,3.443865324333959
lesion_thrombus,quad_3_std,3.2131408325020945
lesion_thrombus,center_mean,4.4425948212914985
lesion_thrombus,periphery_mean,0.36103083713777295
lesion_thrombus,center_periphery_ratio,5.826090985472913
lesion_severeTortuosity,mean_intensity,4.009950797739673
lesion_severeTortuosity,std_intensity,3.2177995189146693
lesion_severeTortuosity,median_intensity,0.43412516559163267
lesion_severeTortuosity,min_intensity,2.4231537252672766
lesion_severeTortuosity,max_intensity,1.2172490164046297
lesion_severeTortuosity,intensity_range,3.7481404003772067
lesion_severeTortuosity,p25_intensity,1.690168843943593
lesion_severeTortuosity,p75_intensity,1.0047174528531961
lesion_severeTortuosity,iqr_intensity,0.5287302310022176
lesion_severeTortuosity,skewness,0.4118645630690519
lesion_severeTortuosity,kurtosis,4.624689633785573
lesion_severeTortuosity,lbp_mean,5.794442526601801
lesion_severeTortuosity,lbp_std,3.50063069830366
lesion_severeTortuosity,gradient_mean,3.8664922989626667
lesion_severeTortuosity,gradient_std,1.5191526415924173
lesion_severeTortuosity,gradient_max,2.1281964099022828
lesion_severeTortuosity,object_area,5.478261241813136
lesion_severeTortuosity,object_perimeter,4.223457828880168
lesion_severeTortuosity,circularity,1.4568166486164964
lesion_severeTortuosity,centroid_x,1.8285062633296483
lesion_severeTortuosity,centroid_y,5.246909115736738
lesion_severeTortuosity,compactness,2.4108035450073158
lesion_severeTortuosity,quad_0_mean,0.5323766256971559
lesion_severeTortuosity,quad_0_std,4.202727740248337
lesion_severeTortuosity,quad_1_mean,3.6304541240818207
lesion_severeTortuosity,quad_1_std,3.870901398177821
lesion_severeTortuosity,quad_2_mean,1.2552618725386184
lesion_severeTortuosity,quad_2_std,3.0139283081769817
lesion_severeTortuosity,quad_3_mean,2.1229107743604088
lesion_severeTortuosity,quad_3_std,8.24088310416875
lesion_severeTortuosity,center_mean,2.2308102846995346
lesion_severeTortuosity,periphery_mean,2.724988176797675
lesion_severeTortuosity,center_periphery_ratio,7.4104990233578425
