epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
167,2895.65,2.69546,3.3063,1.90038,0.02778,0.03093,0.0244,0.00877,3.02303,4.37862,2.15045,0.0009044,0.0009044,0.0009044
168,2913.21,2.62617,3.29692,1.89091,0.06939,0.02062,0.02418,0.0093,2.83084,3.60333,1.99215,0.0008978,0.0008978,0.0008978
169,2931.28,2.68094,3.18215,1.922,0.02364,0.03093,0.00812,0.00268,2.82974,3.91395,1.98726,0.0008912,0.0008912,0.0008912
170,2949.03,2.61817,3.17341,1.84644,0.05815,0.03093,0.01919,0.00663,2.8995,3.92014,2.08288,0.0008846,0.0008846,0.0008846
171,2966.24,2.64274,3.28844,1.8166,0.08711,0.04124,0.02677,0.00768,2.9131,3.69986,2.04899,0.000878,0.000878,0.000878
172,2983.43,2.68987,3.16872,1.8976,0.09089,0.06186,0.02327,0.00798,2.96956,4.22537,2.13424,0.0008714,0.0008714,0.0008714
173,3000.91,2.65064,3.32511,1.81411,0.0373,0.09278,0.03191,0.00876,2.84779,4.61833,2.00376,0.0008648,0.0008648,0.0008648
174,3017.94,2.61629,3.19869,1.81702,0.09717,0.07216,0.03661,0.00892,2.89547,3.7489,2.00635,0.0008582,0.0008582,0.0008582
175,3035.5,2.6827,3.23092,1.87,0.06192,0.07216,0.02067,0.00491,2.95668,4.02166,2.03746,0.0008516,0.0008516,0.0008516
176,3052.57,2.71999,3.26765,1.85752,0.08045,0.05155,0.01608,0.00445,2.87272,3.79905,2.00173,0.000845,0.000845,0.000845
177,3069.97,2.60737,3.08705,1.86169,0.0912,0.09278,0.02243,0.00675,2.97088,3.95833,2.10647,0.0008384,0.0008384,0.0008384
178,3087.11,2.64041,3.07013,1.86835,0.06774,0.07216,0.02528,0.00893,2.84853,3.80208,2.00364,0.0008318,0.0008318,0.0008318
179,3104.68,2.70329,3.25926,1.86679,0.09547,0.10309,0.03038,0.00959,2.81363,3.70835,1.9677,0.0008252,0.0008252,0.0008252
180,3121.93,2.51737,3.06824,1.78542,0.09752,0.03093,0.027,0.01075,2.80034,3.76348,1.95438,0.0008186,0.0008186,0.0008186
181,3139.5,2.55887,2.98531,1.79882,0.04321,0.05309,0.0371,0.00924,2.88107,4.13302,1.986,0.000812,0.000812,0.000812
